name,datetime,tempmax,tempmin,humidity,windspeed,visibility,description
BRONX,2016-01-01,5.9,1.9,53,24.4,16,Partly cloudy throughout the day.
BRONX,2016-02-01,4.4,1.1,47.8,23.9,16,Partly cloudy throughout the day.
BRONX,2016-03-01,7.3,1.7,49.3,26.9,16,Becoming cloudy in the afternoon.
BRONX,2016-04-01,2.9,-9.1,48.6,33.7,16,Clearing in the afternoon.
BRONX,2016-05-01,-1.8,-10.9,42.3,29.8,16,Clear conditions throughout the day.
BRONX,2016-06-01,5.1,-3.8,33.3,14.1,16,Clear conditions throughout the day.
BRONX,2016-07-01,8.1,-0.4,34.5,12.2,16,Partly cloudy throughout the day.
BRONX,2016-08-01,7.3,1.4,60,23.4,16,Partly cloudy throughout the day.
BRONX,2016-09-01,8.4,4.9,78.2,21.3,14.8,Cloudy skies throughout the day.
BRONX,2016-10-01,14.8,5.3,80.1,30.5,9.3,Partly cloudy throughout the day with a chance of 
BRONX,2016-11-01,5.3,-2.3,37.4,28,16,Partly cloudy throughout the day with morning rain
BRONX,2016-12-01,6.6,-3.6,48.1,30.4,16,Partly cloudy throughout the day.
BRONX,13-01-2016,-0.6,-5,41.5,35.9,16,Partly cloudy throughout the day.
BRONX,14-01-2016,3.4,-5,46.1,20.8,15.9,Cloudy skies throughout the day.
BRONX,15-01-2016,10.2,1.5,65.5,15.1,15.6,Clearing in the afternoon with late afternoon rain
BRONX,16-01-2016,10.7,5.7,71,23.7,14.2,Cloudy skies throughout the day with a chance of r
BRONX,17-01-2016,6.1,-0.9,62.2,17.9,13.4,Partly cloudy throughout the day with rain or snow
BRONX,18-01-2016,0,-6.9,47.1,36.3,15.7,Partly cloudy throughout the day.
BRONX,19-01-2016,-1.6,-8,43.6,39.1,16,Clear conditions throughout the day.
BRONX,20-01-2016,2.6,-1.9,50,35.8,16,Partly cloudy throughout the day.
BRONX,21-01-2016,2.4,-2.6,47,24.1,16,Partly cloudy throughout the day.
BRONX,22-01-2016,-1.4,-5.7,41.7,21.1,15.7,Becoming cloudy in the afternoon.
BRONX,23-01-2016,-2.4,-4,83.2,43.4,1.1,Cloudy skies throughout the day with a chance of s
BRONX,24-01-2016,2,-5.6,47.9,31.2,14.8,Partly cloudy throughout the day.
BRONX,25-01-2016,3.2,-2.2,55.1,10.6,15.5,Partly cloudy throughout the day.
BRONX,26-01-2016,8.6,1.7,61.1,16.7,15.8,Partly cloudy throughout the day.
BRONX,27-01-2016,7.3,2.2,49,25.1,16,Clearing in the afternoon with early morning rain.
BRONX,28-01-2016,5.8,-0.5,50.9,18.5,16,Partly cloudy throughout the day.
BRONX,29-01-2016,4.7,0.2,53,29.2,15.7,Partly cloudy throughout the day.
BRONX,30-01-2016,3.8,-2.1,49.7,23.8,16,Partly cloudy throughout the day.
BRONX,31-01-2016,12.6,2.5,55.2,14.3,16,Partly cloudy throughout the day.
